curve_type,query,parameter_label,paired_window_count,within_1pct_of_full_count,within_1pct_of_full_fraction,relative_distance_to_full_median,base_to_full_change_median,base_to_full_change_q25,base_to_full_change_q75
gamma,mean_absolute_duration_gap_per_core,2,90,5,0.05555555555555555,0.036217335970713874,2.255994152046785,1.5136709770114951,2.937672456270022
gamma,mean_absolute_duration_gap_per_core,4,89,16,0.1797752808988764,0.026770961238195005,2.2277777777777885,1.4908333333333346,2.9202020202020336
gamma,mean_absolute_duration_gap_per_core,8,89,41,0.4606741573033708,0.011622793239932174,2.2277777777777885,1.4908333333333346,2.9202020202020336
gamma,mean_absolute_duration_gap_per_core,full-support,90,90,1.0,0.0,2.255994152046785,1.5136709770114951,2.937672456270022
gamma,mean_absolute_fare_gap_per_core,0,2,0,0.0,0.515625,12.868589743589745,6.802884615384617,18.934294871794872
gamma,mean_absolute_fare_gap_per_core,1,2,1,0.5,0.013586956521739156,12.868589743589745,6.802884615384617,18.934294871794872
gamma,mean_absolute_fare_gap_per_core,2,2,1,0.5,0.01154891304347835,12.868589743589745,6.802884615384617,18.934294871794872
gamma,mean_absolute_fare_gap_per_core,4,1,0,0.0,0.01630434782608705,0.737179487179489,0.737179487179489,0.737179487179489
gamma,mean_absolute_fare_gap_per_core,8,1,0,0.0,0.010869565217391266,0.737179487179489,0.737179487179489,0.737179487179489
gamma,mean_absolute_fare_gap_per_core,full-support,2,2,1.0,0.0,12.868589743589745,6.802884615384617,18.934294871794872
gamma,mean_absolute_trip_miles_gap_per_core,0,89,10,0.11235955056179775,0.01951410166037338,0.42931388888888833,0.29196078431372285,0.637083333333333
gamma,mean_absolute_trip_miles_gap_per_core,1,89,29,0.3258426966292135,0.014711178015880105,0.42931388888888833,0.29196078431372285,0.637083333333333
gamma,mean_absolute_trip_miles_gap_per_core,2,89,40,0.449438202247191,0.011145618211341034,0.42931388888888833,0.29196078431372285,0.637083333333333
gamma,mean_absolute_trip_miles_gap_per_core,4,88,60,0.6818181818181818,0.006173147733427973,0.42493472222222195,0.2915667420814465,0.6253422619047662
gamma,mean_absolute_trip_miles_gap_per_core,8,88,85,0.9659090909090909,0.0018509790307430153,0.42493472222222195,0.2915667420814465,0.6253422619047662
gamma,mean_absolute_trip_miles_gap_per_core,full-support,89,89,1.0,0.0,0.42931388888888833,0.29196078431372285,0.637083333333333
gamma,same_dropoff_community_area_fraction_per_core,0,90,90,1.0,0.0,0.0,0.0,0.0
gamma,same_dropoff_community_area_fraction_per_core,1,90,90,1.0,0.0,0.0,0.0,0.0
gamma,same_dropoff_community_area_fraction_per_core,2,90,90,1.0,0.0,0.0,0.0,0.0
gamma,same_dropoff_community_area_fraction_per_core,4,89,89,1.0,0.0,0.0,0.0,0.0
gamma,same_dropoff_community_area_fraction_per_core,8,89,89,1.0,0.0,0.0,0.0,0.0
gamma,same_dropoff_community_area_fraction_per_core,full-support,90,90,1.0,0.0,0.0,0.0,0.0
gamma,same_pickup_community_area_fraction_per_core,0,90,89,0.9888888888888889,0.0,0.0,0.0,0.0
gamma,same_pickup_community_area_fraction_per_core,1,90,90,1.0,0.0,0.0,0.0,0.0
gamma,same_pickup_community_area_fraction_per_core,2,90,90,1.0,0.0,0.0,0.0,0.0
gamma,same_pickup_community_area_fraction_per_core,4,89,89,1.0,0.0,0.0,0.0,0.0
gamma,same_pickup_community_area_fraction_per_core,8,89,89,1.0,0.0,0.0,0.0,0.0
gamma,same_pickup_community_area_fraction_per_core,full-support,90,90,1.0,0.0,0.0,0.0,0.0
radius,mean_absolute_duration_gap_per_core,0 km,89,0,0.0,0.05991751193478882,2.5985915492957687,1.6027777777777814,4.357948717948709
radius,mean_absolute_duration_gap_per_core,0.25 km,89,0,0.0,0.05991751193478882,2.5985915492957687,1.6027777777777814,4.357948717948709
radius,mean_absolute_duration_gap_per_core,0.5 km,89,0,0.0,0.05991751193478882,2.5985915492957687,1.6027777777777814,4.357948717948709
radius,mean_absolute_duration_gap_per_core,1 km,89,0,0.0,0.056656501473782934,2.5985915492957687,1.6027777777777814,4.357948717948709
radius,mean_absolute_duration_gap_per_core,16 km,89,87,0.9775280898876404,0.0015637578303554455,2.5985915492957687,1.6027777777777814,4.357948717948709
radius,mean_absolute_duration_gap_per_core,2 km,89,0,0.0,0.050491899786032156,2.5985915492957687,1.6027777777777814,4.357948717948709
radius,mean_absolute_duration_gap_per_core,32 km,87,87,1.0,1.8519960894059353e-16,2.597619047619041,1.5850146198830437,4.217542735042738
radius,mean_absolute_duration_gap_per_core,4 km,89,1,0.011235955056179775,0.04342856189300144,2.5985915492957687,1.6027777777777814,4.357948717948709
