window_index,window_label,capacity,q,query,direction,restriction,status,endpoint_rational,ordered_tie_subset_count,restricted_tie_subset_count,shared_attaining_subset_count,ordered_only_attaining_subset_count,same_buffer_subset_witnessed,ordered_witness_sha256,restricted_witness_sha256
0,jan_weekday_am_n8,3,2,mean_selected_buffer_miles,lower,pair,ATTAINED_BY_RESTRICTED_FAMILY,17453/2000,1,1,1,0,True,6e4d2c823f923c08475b026b402a71be8fcf18a9fca3b084687a7eb8c89397ca,4219e5a46cad8b3235db0b53a625421fce873b21caf9b0b4573da266f6cb6fe8
0,jan_weekday_am_n8,3,2,mean_selected_buffer_miles,upper,pair,ATTAINED_BY_RESTRICTED_FAMILY,13469/500,1,1,1,0,True,24f30b4176f41cd9e295536146504cb4497bcb9f4772f438b61dc233e2ff622f,5191b4d06fe66d82769cc7c920fdb8ca8018d0f4ba951fe08de0fb45d48a68da
0,jan_weekday_am_n8,3,2,mean_selected_buffer_observed_duration_minutes,lower,pair,ATTAINED_BY_RESTRICTED_FAMILY,1733/40,1,1,1,0,True,57bd818b2b14f1553f29913f2cb99b454745f45b0dc20729e1d4d9662074d0f3,ea61da2ddb958235d44e000f315000e7e66b4ec8d745015f67f8fc4cbf2457ee
0,jan_weekday_am_n8,3,2,mean_selected_buffer_observed_duration_minutes,upper,pair,ATTAINED_BY_RESTRICTED_FAMILY,1052/15,1,1,1,0,True,d74e6f8145c4e5ed9a2d9f25628a86df31a18d310a1903deddc23a8b94513c2a,5c0c22cc6be9a6ffb1a56bbd2d3238d859894fc02661ee46cfff25980f746de5
0,jan_weekday_am_n8,3,2,mean_selected_buffer_miles,lower,clique,ATTAINED_BY_RESTRICTED_FAMILY,17453/2000,1,1,1,0,True,6e4d2c823f923c08475b026b402a71be8fcf18a9fca3b084687a7eb8c89397ca,7d50c49f87f8f964ea2ba71175910cb46f706db9fae82f40698653b8a036409d
0,jan_weekday_am_n8,3,2,mean_selected_buffer_miles,upper,clique,ATTAINED_BY_RESTRICTED_FAMILY,13469/500,1,1,1,0,True,24f30b4176f41cd9e295536146504cb4497bcb9f4772f438b61dc233e2ff622f,ebe7cd61da3c09e36fe70e7d47b5028314663141826a0f92ff846f978b314d3b
0,jan_weekday_am_n8,3,2,mean_selected_buffer_observed_duration_minutes,lower,clique,ATTAINED_BY_RESTRICTED_FAMILY,1733/40,1,1,1,0,True,57bd818b2b14f1553f29913f2cb99b454745f45b0dc20729e1d4d9662074d0f3,15040cd5a7f780926d10378bd114004da2e3936cf33af02eae1a39cf2483ed47
0,jan_weekday_am_n8,3,2,mean_selected_buffer_observed_duration_minutes,upper,clique,ATTAINED_BY_RESTRICTED_FAMILY,1052/15,1,1,1,0,True,d74e6f8145c4e5ed9a2d9f25628a86df31a18d310a1903deddc23a8b94513c2a,2b782f259f4031fef55eb8ffe87e0a06d3dea82c900d60ee47de47ef659453a0
0,jan_weekday_am_n8,3,4,mean_selected_buffer_miles,lower,pair,ATTAINED_BY_RESTRICTED_FAMILY,39217/4000,1,1,1,0,True,a88c0b0fda5ef9317602ea3e12dbab3cd5011d2d44cda5c0fdd00e36b83bde09,e8bcbc8725ddbb759de99712fd9ff2ea1b3c54b9e0d1c3cb7f712e015108cf3b
0,jan_weekday_am_n8,3,4,mean_selected_buffer_miles,upper,pair,ATTAINED_BY_RESTRICTED_FAMILY,100061/4000,1,1,1,0,True,f46bbc4bf7f95eb7a48674202baeb4c8dc5983db0e8d227485b44b79f2d7cd68,1be3a7ce92f3ce4512dadbbdcee2fd7f9d4cb1a5cceec0e41ea6c314c392140c
0,jan_weekday_am_n8,3,4,mean_selected_buffer_observed_duration_minutes,lower,pair,ATTAINED_BY_RESTRICTED_FAMILY,10457/240,1,1,1,0,True,121fbb65c68a437f8491dc36480fd5df72b0a561c62d5cd6ae7d487464a2b20e,c6877659460b928bff475838c71fbacd6a58b13ae71f09fc1cc427ea7bc79ebb
0,jan_weekday_am_n8,3,4,mean_selected_buffer_observed_duration_minutes,upper,pair,ATTAINED_BY_RESTRICTED_FAMILY,973/15,1,1,1,0,True,f2e6eff47ffe15e6a490a026fe309c12228acfb3e031fe2709cf1fab83127864,36f4aec40814c27bc1599c7746e6012f092ea2ad422b8584bf11da52528ef042
0,jan_weekday_am_n8,3,4,mean_selected_buffer_miles,lower,clique,ATTAINED_BY_RESTRICTED_FAMILY,39217/4000,1,1,1,0,True,a88c0b0fda5ef9317602ea3e12dbab3cd5011d2d44cda5c0fdd00e36b83bde09,96244c320b553063c8741f8fc96ebabdd4e11c967c658bbe63e4be4923a50565
0,jan_weekday_am_n8,3,4,mean_selected_buffer_miles,upper,clique,ATTAINED_BY_RESTRICTED_FAMILY,100061/4000,1,1,1,0,True,f46bbc4bf7f95eb7a48674202baeb4c8dc5983db0e8d227485b44b79f2d7cd68,dc1349d46eb54c56425c1d94cbce7682c2fd8f0e87dd740b64f0ecfdce74fd1b
0,jan_weekday_am_n8,3,4,mean_selected_buffer_observed_duration_minutes,lower,clique,ATTAINED_BY_RESTRICTED_FAMILY,10457/240,1,1,1,0,True,121fbb65c68a437f8491dc36480fd5df72b0a561c62d5cd6ae7d487464a2b20e,e8995845cf0ca950271258a1ad141fb6b718fc3a95546e81d6cde591d1e7e1e7
0,jan_weekday_am_n8,3,4,mean_selected_buffer_observed_duration_minutes,upper,clique,ATTAINED_BY_RESTRICTED_FAMILY,973/15,1,1,1,0,True,f2e6eff47ffe15e6a490a026fe309c12228acfb3e031fe2709cf1fab83127864,dbd7bca4e32da2c288084db118be8e3f33f70453a47329d2eb99f41767a82af4
0,jan_weekday_am_n8,4,2,mean_selected_buffer_miles,lower,pair,ATTAINED_BY_RESTRICTED_FAMILY,17453/2000,1,1,1,0,True,06447247c0c0680413d3d19cfc44dfbfd96b817e1a9d70cb22b05dc80ed62535,68d5c9f5de53eff291e3ba6987d0321c3538c3697021736bfeb3c918d039a882
0,jan_weekday_am_n8,4,2,mean_selected_buffer_miles,upper,pair,ATTAINED_BY_RESTRICTED_FAMILY,13469/500,1,1,1,0,True,10785a2f21c977c261b0df4074364ef42de8cff77a6ac4545aea807357252442,7006727d2106652e2a80a4c90623d4196b04d5a18272ae173d192390d36d5597
0,jan_weekday_am_n8,4,2,mean_selected_buffer_observed_duration_minutes,lower,pair,ATTAINED_BY_RESTRICTED_FAMILY,1733/40,1,1,1,0,True,f0093efd96a3ed11629451d5b309d7a4792d50676f65519d7dd412386e5bd6d3,78edc33ae6e719f710b5739fc04ca8f209ac980bc79e4bec81cd0e8a22bd6992
