buffer_rows,candidate_rows,certified_endpoint_pairs,closure_status,computationally_unresolved_endpoint_pairs,core_rows,core_start_local,endpoint_pairs,failure_message,failure_type,missing_public_query_value_endpoint_pairs,monotonicity_status,report_sha256,sensitivity_sha256,status,temporal_edges,uncertified_endpoint_pairs,window_index
390,448,120,PASS,0,58,2026-01-22T12:00:00,150,,,30,PARTIAL,fce40877c755020290c770f4fe479a14069a9230c331d287ea9c034e438c4729,4985eb6d84094908b68721f8db079adbf3538c1d254b9aca0c0df35e33b4f69b,COMPLETED,17863,30,16
634,703,116,PASS,4,69,2026-01-22T17:30:00,150,,,30,PARTIAL,159d3382f0beda410998e38b7093a0bedf40fbbe5c2ba368fe48553d1a0cab7b,400e80d532ff797d8a673fcbc7af02141007a90d18c3f7866c5e8a12c0682918,COMPLETED,36200,34,17
436,491,120,PASS,0,55,2026-01-23T08:00:00,150,,,30,PARTIAL,b7d76422992ec9fef47a8b6d3fa96a7336a28bdee48bbf675b0bfcae543c8dbc,57714867b57e58c107f7b6035fc05d88720d5580d7736e88eca8357e69c3066c,COMPLETED,20504,30,18
391,442,120,PASS,0,51,2026-01-23T12:00:00,150,,,30,PARTIAL,5b8ada9614d6a8bfe796b3a61fcaa55a272890b416abe74ef5ac3187e6a31284,2df2fbacaba6a014c7c50280fdcee279933b8f41b451febcb6f59c1bc9238e8f,COMPLETED,15606,30,19
569,648,120,PASS,0,79,2026-01-23T17:30:00,150,,,30,PARTIAL,64ac9ab3e9254581b6cde2ee5f8447e7ecd319548020f2c1cb8598c62afcc537,f0d64cb62ca45150a01d9cd8aa752a7a5aca3a3a810f7dc9134ab1547a40e5df,COMPLETED,37719,30,20
,,,,,,2026-01-26T08:00:00,,no scan bin met the core-count and timestamp/id-integrity requirements,LiveDataError,,,,,INELIGIBLE_FIXED_CORE,,,21
396,426,112,PASS,0,30,2026-01-26T12:00:00,140,,,28,PARTIAL,ab5a37ec45e3b2439210718305e51b9e9881a9bcbaf714679c60e513b08d38a3,734b7613fcde74dfb90164d51eb43c4d59528acca76b4d5a3a70783d43eec6e9,COMPLETED,9358,28,22
555,618,112,PASS,0,63,2026-01-26T17:30:00,140,,,28,PARTIAL,5a1b5e68c893f6f041962a593fb5755bc1fdf4884c99eaf216526f26b40e1267,b10587ad1c6947dfab61c76caed49929868e263a50356825a4a5719a62d2f84e,COMPLETED,28059,28,23
703,768,120,PASS,0,65,2026-01-27T08:00:00,150,,,30,PARTIAL,3e8a839fb57747b1b868a2954c67288e86ff45ecf5d6df43f4006aaa00e84934,78dd47c6321b90d58e2efe4041948b4907915c8c6a719e629cf294d5efeba216,COMPLETED,35532,30,24
406,453,120,PASS,0,47,2026-01-27T12:00:00,150,,,30,PARTIAL,36f757bf040a124257d337fcceaf3c411729a2be10ccb4fe596862995ddbb13b,b796eaa177efcace1d996be73ef839053373c431e75579a880d0fd9f34e1e71a,COMPLETED,14769,30,25
667,723,120,PASS,0,56,2026-01-27T17:30:00,150,,,30,PARTIAL,f854e3fa31dd591428f0711b6f712d0d58f135f06280301d19500a70e0850762,e846b7d6f8c54928a2a7fd00515627e1ff29a0004920e102a5736052f90fbb5d,COMPLETED,27997,30,26
,,,,,,2026-01-28T08:00:00,,no scan bin met the core-count and timestamp/id-integrity requirements,LiveDataError,,,,,INELIGIBLE_FIXED_CORE,,,27
416,469,120,PASS,0,53,2026-01-28T12:00:00,150,,,30,PARTIAL,aec22561aeed9a2d191af6a61969e6749f7b1e2eecb26cf0bb4e7600c952fdc1,69db6a1fd5424d9574992b0ec94ba51553e7b3d646d423563f9750a84061b95f,COMPLETED,18168,30,28
625,694,120,PASS,0,69,2026-01-28T17:30:00,150,,,30,PARTIAL,a0e3b17955c5cb36aa6933227741f70b1e05c9e2a1012f4f308f79546366ca5b,c212e94390cca324f1ca51b17b40050302f339df93bd2f7fa46596a76dea0d9c,COMPLETED,34506,30,29
,,,,,,2026-01-29T08:00:00,,no scan bin met the core-count and timestamp/id-integrity requirements,LiveDataError,,,,,INELIGIBLE_FIXED_CORE,,,30
462,502,120,PASS,0,40,2026-01-29T12:00:00,150,,,30,PARTIAL,36f49c13f99ad199a1a80223cb1eb53c029d6b10b7c61a3143b8ab51ce49f140,fe48784987b99a760da872d65986d2114122ad9a88f9c8daff1eff53fdd597ca,COMPLETED,12137,30,31
620,672,120,PASS,0,52,2026-01-29T17:30:00,150,,,30,PARTIAL,4dae561959c791df19fdbca13ca9266247143369dd6eda3e617059fa4504243f,728bd441834ad257c3c57ca05f5a54c7e61c178bb47a2cbd292e0393bff2a9b7,COMPLETED,22587,30,32
582,652,120,PASS,0,70,2026-01-30T08:00:00,150,,,30,PARTIAL,44297393cf79e55fcdc4d906f07be045ba27e5bd53c50b7dac61e955917310b5,f60d73f363c4b093520a2cfda9835bed7271fb109cc25ca608b4f87c80bebd85,COMPLETED,33615,30,33
426,469,120,PASS,0,43,2026-01-30T12:00:00,150,,,30,PARTIAL,c94d3f0e57af98b6a5cbc5392df1c64044672b8d0f201e24a87a7672e7741bde,b2f53dfa68aa3fa546a008ca7d8b056e7fa04548f09f8296fc519ada9aade626,COMPLETED,14159,30,34
828,895,120,PASS,0,67,2026-01-30T17:30:00,150,,,30,PARTIAL,522afed71148d2ef625d9c680a520747d5205aa7d581519488f6d7e2923f0d92,b4e63554234429f59ca29b6ffcc7602b8d02607a85e295268861a4e1ece56055,COMPLETED,32332,30,35
582,653,120,PASS,0,71,2026-02-02T08:00:00,150,,,30,PARTIAL,3496e041b03e132655e1def7c21cccf2d3f3bfa7a58cf0bc56c1f61c41cd498a,5b1b0ef913068fbecffb8601d3db21a4849f16c943d83d0dca1e357e9e65f799,COMPLETED,30680,30,36
418,469,120,PASS,0,51,2026-02-02T12:00:00,150,,,30,PARTIAL,ecdc3b1bc2c9fd26c99ca1843e1a13d42133bc32a6f8026d61dab3ebc21642ae,da50b4403dae1351c53f3d7fb3c6d35d7079827d06be69db0f504661e420adf1,COMPLETED,14810,30,37
486,546,120,PASS,0,60,2026-02-02T17:30:00,150,,,30,PARTIAL,f18649e376365e5ef08885cc37cf470b54ba3b8e7b73e4bdfdc0ffbc0d1b47a9,fcad5f212e78a257cd0f6478be5c9aa866b014043a1d775c3294b62dc2a96084,COMPLETED,22736,30,38
517,571,120,PASS,0,54,2026-02-03T08:00:00,150,,,30,PARTIAL,00671b49c96c24b0e87c8ac6a5476b6ca5d3a588336327ec247967a78e3d813a,e6a1096506980509f66d780b1ad1aaef98551a9eb367264e099c144bd72e225b,COMPLETED,22686,30,39
567,615,120,PASS,0,48,2026-02-03T12:00:00,150,,,30,PARTIAL,a5a8dcfbafb64e8edff467458b99f388046980a5f65a0b0360dbdcba97628102,2af55ae23be35a8150284e5bde4196a39aa464debccc28caef205f08720608a3,COMPLETED,14502,30,40
397,441,120,PASS,0,44,2026-02-03T17:30:00,150,,,30,PARTIAL,77a11f7df5a33b315f0ab89cc34e9232b2e4c40d06c6b11eea0a547766b40ffe,d93bfe46397c76a08056f089b8310608e0bed6a7d64a91f3e270a95c49dceba1,COMPLETED,14377,30,41
477,539,112,PASS,0,62,2026-02-04T08:00:00,140,,,28,PARTIAL,6ab915d04775c5f21ff8a6d85bf8c6c732d907011c93dba3d27416843a16d38f,37758e2b629fb57497db11f6e1fbe02d80cd8c37bd2e138162032bd92b8cfb4a,COMPLETED,23540,28,42
368,416,120,PASS,0,48,2026-02-04T12:00:00,150,,,30,PARTIAL,5db3abc1053a14cc65893522800af5377be403fc3185be4b1b9c77a5af758582,1d880e0d0985de8aa377a9ca8c2922190d63ca57c9922f5e7a97f89637c28c08,COMPLETED,13191,30,43
495,545,120,PASS,0,50,2026-02-04T17:30:00,150,,,30,PARTIAL,bdf28c95b43d15c5dacb095bdca39935e195b396e664d80644a59fbac21103ef,260ec7a94f156fbea3808dac4fb7b9a08a093f1dfe8373ce31b12b020c1dced1,COMPLETED,17007,30,44
540,613,120,PASS,0,73,2026-02-05T08:00:00,150,,,30,PARTIAL,bbba17719d0c06304d89aef24c17dc51d3a652e120e0651165c47698ad9aad1d,de32bae6131cfc4295f6efe158425934197a91cba594592d26d5a0b98d0c38a2,COMPLETED,31210,30,45
332,386,120,PASS,0,54,2026-02-05T12:00:00,150,,,30,PARTIAL,1ff4b1d75c5fb534d414441d045862542568a66b844566e876c458ba321ebf2a,7d051d49080a8a2ee2e8f3ab61324b9bf9fc582a16c96218d2065b7d35df5331,COMPLETED,15555,30,46
503,549,120,PASS,0,46,2026-02-05T17:30:00,150,,,30,PARTIAL,cd13725c76f05863375f376353d77c2548cecbb751979e8de162608674710e70,26b366c26efe813b5e4015f54839732dc52bbfff5cd1383102149f1bbb74b595,COMPLETED,17421,30,47
641,712,120,PASS,0,71,2026-02-06T08:00:00,150,,,30,PARTIAL,047efaf6ddf1cc9a805def5aa7b1847ab0730b50b1b1b2439bcf862ccfd04c21,515ea8ed0c271b06c5c1880e4aa81911942960a0bb5a177a1572294a993c4c87,COMPLETED,33375,30,48
333,383,120,PASS,0,50,2026-02-06T12:00:00,150,,,30,PARTIAL,265aa99cd258d343fde7926513adb09e07f6e046788595444e2f851ba76a7a37,b5b078b56453f4f32ff9241052f3a9b5aec21e127708b7bcf619a5379f56eefc,COMPLETED,14268,30,49
646,704,120,PASS,0,58,2026-02-06T17:30:00,150,,,30,PARTIAL,ab4a98186cb4134e8e231cd0bcfa8397d01337c3e7016595b087821c3a5c1294,09a7f3cad6655cd55af121804093ea3c704518e17bc91663fe321415e245c116,COMPLETED,28046,30,50
618,675,120,PASS,0,57,2026-02-09T08:00:00,150,,,30,PARTIAL,71ed4636bee6ee0cfbda7567aa986849415b8828b2a96cbf63d64b9b512b7760,6171268020694a8b9e4bf98c4f35b2985eb08790b2037f2a3ccf908f0b02dc20,COMPLETED,26465,30,51
344,385,120,PASS,0,41,2026-02-09T12:00:00,150,,,30,PARTIAL,39194f80b87b66e4906a8b9c565532f90a0c66baa8c1018a5e01f3c61ceb7e74,e1d79737000e6232b0e5e52ab2b4070255f0838622585b350146066864e8d9a0,COMPLETED,11374,30,52
512,566,120,PASS,0,54,2026-02-09T17:30:00,150,,,30,PARTIAL,f4c46e4a71350e36e745777327361256a7f51ac99884e6ace1a802c362d8b3db,9969073fb168f47bd5fe74917a289b0a4d636a87b78e1ca39db43d9d40118eb8,COMPLETED,20297,30,53
400,451,120,PASS,0,51,2026-02-10T08:00:00,150,,,30,PARTIAL,c78c3b58b84a29610e0afb6a5036170681a103208abe9d642fcae2ffdaa8dc8c,56c68b40bc58c88fa3d2211d2bc23f793760828c596e1d4aefc4a2d03eb99404,COMPLETED,17308,30,54
351,390,120,PASS,0,39,2026-02-10T12:00:00,150,,,30,PARTIAL,9cdaca4cb30409ddc2156a07d14eb105fa7d640213708f06117780f529b8f314,14be6551c31b14f7fd67a5c66faa8f3470aeb617d30ab90fd630ff9a39662054,COMPLETED,11266,30,55
494,541,120,PASS,0,47,2026-02-10T17:30:00,150,,,30,PARTIAL,b8279ca6b8c8d2c81cd9aeb749ffd55e8ae096d89dc53c1cd04302cfb4c3d128,e9429de4aeb3c3695ef97da1ae5a00bd549eb60d48b9da96c62cd3c7a6505fdf,COMPLETED,17244,30,56
500,571,120,PASS,0,71,2026-02-11T08:00:00,150,,,30,PARTIAL,41fdcc8d83a44a96edacf8007f69c4323559f7fa5b97b6ac89448616f1977fb9,0ceb928ca018ae0de6c653df8077695a8c8376c7136406620532455eeda04b19,COMPLETED,26655,30,57
406,446,120,PASS,0,40,2026-02-11T12:00:00,150,,,30,PARTIAL,5e324113e8612b8ed6a91ce82140ce88d56f22ae2decf19b1485dedf63064471,9d38c03f73195e2409ef9b911361fbfbd6c2acd8634bdb2fdd235424a0338e03,COMPLETED,12270,30,58
590,639,120,PASS,0,49,2026-02-11T17:30:00,150,,,30,PARTIAL,5367fb855cf2bdb6ab54492c1e65788e7bd74e97e8f18991f95417ba35209b2f,8267813de84a8fac21427b45e540b320234199e1c275be3e2787f07389f6239c,COMPLETED,20821,30,59
405,459,120,PASS,0,54,2026-02-12T08:00:00,150,,,30,PARTIAL,2dcaffb437f3aca426dabb03ac63de807a207f0f2a2a201065fcaf81ec0cd988,1686def674347f4894eac83ba045b03a32e5211453fc22d2dea8b84ae670cec2,COMPLETED,18406,30,60
371,423,120,PASS,0,52,2026-02-12T12:00:00,150,,,30,PARTIAL,b3ce25e3c4ad677e1c5609da8089ef96062dbda952ee0298ec79bf0fae09f5d0,257ffc4c984b7669238d8de7b01d7df6751e2caeac4939ccc44feeae1af85872,COMPLETED,15033,30,61
619,676,120,PASS,0,57,2026-02-12T17:30:00,150,,,30,PARTIAL,f1d0adbff8eaa6cfcd9c5698a3ba5b0823daee4b22d51a829b3aa7cf5b34eec0,156d3aa6f66801eeb643b9f993f03c3a52fa3d181e444872dc70a9d94caf06d1,COMPLETED,24350,30,62
542,605,112,PASS,0,63,2026-02-13T08:00:00,140,,,28,PARTIAL,4d7595aaa968d7b99be3630c5c5d9dbf21b2fa4fe02590adf922b81e858cad4e,027100cce0f01b14d2a2302b06e9a856c9a2b864e15e2ecb05f5cbba9bf0277c,COMPLETED,25637,28,63
470,524,120,PASS,0,54,2026-02-13T12:00:00,150,,,30,PARTIAL,7da15276ec7cf9d3e7de4b8e498a63db05606f26a470cc35c0716c0eae21da00,e8d1189819d561c43d2c346f93fbf8d3578916fa3d3cee24b4fe9972a1fc3dd0,COMPLETED,20378,30,64
730,782,120,PASS,0,52,2026-02-13T17:30:00,150,,,30,PARTIAL,70c223d8e575eea84090b6846d3c34f504f1c5e02bbddebf4f19c5401c82709b,7f11c7d981a3c6a3b92965ca1562c1211faa37901cb3c2bb5ea6276b432d4040,COMPLETED,27876,30,65
