buffer_rows,candidate_rows,certified_endpoint_pairs,closure_status,computationally_unresolved_endpoint_pairs,core_rows,core_start_local,endpoint_pairs,failure_message,failure_type,missing_public_query_value_endpoint_pairs,monotonicity_status,report_sha256,sensitivity_sha256,status,temporal_edges,uncertified_endpoint_pairs,window_index
,,,,,,2026-02-09T08:00:00,,,,,,,,UNSTARTED,,,51
,,,,,,2026-02-09T12:00:00,,,,,,,,UNSTARTED,,,52
,,,,,,2026-02-09T17:30:00,,,,,,,,UNSTARTED,,,53
,,,,,,2026-02-10T08:00:00,,,,,,,,UNSTARTED,,,54
,,,,,,2026-02-10T12:00:00,,,,,,,,UNSTARTED,,,55
,,,,,,2026-02-10T17:30:00,,,,,,,,UNSTARTED,,,56
,,,,,,2026-02-11T08:00:00,,,,,,,,UNSTARTED,,,57
,,,,,,2026-02-11T12:00:00,,,,,,,,UNSTARTED,,,58
,,,,,,2026-02-11T17:30:00,,,,,,,,UNSTARTED,,,59
,,,,,,2026-02-12T08:00:00,,,,,,,,UNSTARTED,,,60
,,,,,,2026-02-12T12:00:00,,,,,,,,UNSTARTED,,,61
,,,,,,2026-02-12T17:30:00,,,,,,,,UNSTARTED,,,62
,,,,,,2026-02-13T08:00:00,,,,,,,,UNSTARTED,,,63
,,,,,,2026-02-13T12:00:00,,,,,,,,UNSTARTED,,,64
,,,,,,2026-02-13T17:30:00,,,,,,,,UNSTARTED,,,65
,,,,,,2026-02-16T08:00:00,,,,,,,,UNSTARTED,,,66
,,,,,,2026-02-16T12:00:00,,,,,,,,UNSTARTED,,,67
,,,,,,2026-02-16T17:30:00,,,,,,,,UNSTARTED,,,68
,,,,,,2026-02-17T08:00:00,,,,,,,,UNSTARTED,,,69
,,,,,,2026-02-17T12:00:00,,,,,,,,UNSTARTED,,,70
,,,,,,2026-02-17T17:30:00,,,,,,,,UNSTARTED,,,71
,,,,,,2026-02-18T08:00:00,,,,,,,,UNSTARTED,,,72
,,,,,,2026-02-18T12:00:00,,,,,,,,UNSTARTED,,,73
,,,,,,2026-02-18T17:30:00,,,,,,,,UNSTARTED,,,74
,,,,,,2026-02-19T08:00:00,,,,,,,,UNSTARTED,,,75
,,,,,,2026-02-19T12:00:00,,,,,,,,UNSTARTED,,,76
,,,,,,2026-02-19T17:30:00,,,,,,,,UNSTARTED,,,77
,,,,,,2026-02-20T08:00:00,,,,,,,,UNSTARTED,,,78
,,,,,,2026-02-20T12:00:00,,,,,,,,UNSTARTED,,,79
,,,,,,2026-02-20T17:30:00,,,,,,,,UNSTARTED,,,80
,,,,,,2026-02-23T08:00:00,,,,,,,,UNSTARTED,,,81
,,,,,,2026-02-23T12:00:00,,,,,,,,UNSTARTED,,,82
,,,,,,2026-02-23T17:30:00,,,,,,,,UNSTARTED,,,83
,,,,,,2026-02-24T08:00:00,,,,,,,,UNSTARTED,,,84
,,,,,,2026-02-24T12:00:00,,,,,,,,UNSTARTED,,,85
,,,,,,2026-02-24T17:30:00,,,,,,,,UNSTARTED,,,86
,,,,,,2026-02-25T08:00:00,,,,,,,,UNSTARTED,,,87
,,,,,,2026-02-25T12:00:00,,,,,,,,UNSTARTED,,,88
,,,,,,2026-02-25T17:30:00,,,,,,,,UNSTARTED,,,89
,,,,,,2026-02-26T08:00:00,,,,,,,,UNSTARTED,,,90
,,,,,,2026-02-26T12:00:00,,,,,,,,UNSTARTED,,,91
,,,,,,2026-02-26T17:30:00,,,,,,,,UNSTARTED,,,92
,,,,,,2026-02-27T08:00:00,,,,,,,,UNSTARTED,,,93
,,,,,,2026-02-27T12:00:00,,,,,,,,UNSTARTED,,,94
,,,,,,2026-02-27T17:30:00,,,,,,,,UNSTARTED,,,95
