window_index,window_label,capacity,q,query,restriction,status,ordered_lower,ordered_upper,restricted_lower,restricted_upper,lower_increase,upper_decrease,width_decrease,endpoint_changed_exactly
5,apr_weekday_am_n8,2,2,mean_selected_buffer_observed_duration_minutes,pair,CERTIFIED_FIXED_Q_COMPARISON,29.758333333333333,62.45,29.758333333333333,62.45,0.0,0.0,0.0,False
5,apr_weekday_am_n8,2,2,mean_selected_buffer_observed_duration_minutes,clique,CERTIFIED_FIXED_Q_COMPARISON,29.758333333333333,62.45,29.758333333333333,62.45,0.0,0.0,0.0,False
5,apr_weekday_am_n8,2,3,mean_selected_buffer_miles,pair,INELIGIBLE_NOT_COMMON_FEASIBLE_Q,,,,,,,,
5,apr_weekday_am_n8,2,3,mean_selected_buffer_miles,clique,INELIGIBLE_NOT_COMMON_FEASIBLE_Q,,,,,,,,
5,apr_weekday_am_n8,2,3,mean_selected_buffer_observed_duration_minutes,pair,INELIGIBLE_NOT_COMMON_FEASIBLE_Q,,,,,,,,
5,apr_weekday_am_n8,2,3,mean_selected_buffer_observed_duration_minutes,clique,INELIGIBLE_NOT_COMMON_FEASIBLE_Q,,,,,,,,
5,apr_weekday_am_n8,2,4,mean_selected_buffer_miles,pair,CERTIFIED_FIXED_Q_COMPARISON,5.8925,17.775,5.8925,17.775,0.0,0.0,0.0,False
5,apr_weekday_am_n8,2,4,mean_selected_buffer_miles,clique,CERTIFIED_FIXED_Q_COMPARISON,5.8925,17.775,5.8925,17.775,0.0,0.0,0.0,False
5,apr_weekday_am_n8,2,4,mean_selected_buffer_observed_duration_minutes,pair,CERTIFIED_FIXED_Q_COMPARISON,31.5625,60.795833333333334,31.5625,60.795833333333334,0.0,0.0,0.0,False
5,apr_weekday_am_n8,2,4,mean_selected_buffer_observed_duration_minutes,clique,CERTIFIED_FIXED_Q_COMPARISON,31.5625,60.795833333333334,31.5625,60.795833333333334,0.0,0.0,0.0,False
5,apr_weekday_am_n8,3,1,mean_selected_buffer_miles,pair,INELIGIBLE_NOT_COMMON_FEASIBLE_Q,,,,,,,,
5,apr_weekday_am_n8,3,1,mean_selected_buffer_miles,clique,INELIGIBLE_NOT_COMMON_FEASIBLE_Q,,,,,,,,
5,apr_weekday_am_n8,3,1,mean_selected_buffer_observed_duration_minutes,pair,INELIGIBLE_NOT_COMMON_FEASIBLE_Q,,,,,,,,
5,apr_weekday_am_n8,3,1,mean_selected_buffer_observed_duration_minutes,clique,INELIGIBLE_NOT_COMMON_FEASIBLE_Q,,,,,,,,
5,apr_weekday_am_n8,3,2,mean_selected_buffer_miles,pair,CERTIFIED_FIXED_Q_COMPARISON,5.49,19.27,5.49,19.27,0.0,0.0,0.0,False
5,apr_weekday_am_n8,3,2,mean_selected_buffer_miles,clique,CERTIFIED_FIXED_Q_COMPARISON,5.49,19.27,5.49,19.27,0.0,0.0,0.0,False
5,apr_weekday_am_n8,3,2,mean_selected_buffer_observed_duration_minutes,pair,CERTIFIED_FIXED_Q_COMPARISON,29.758333333333333,62.45,29.758333333333333,62.45,0.0,0.0,0.0,False
5,apr_weekday_am_n8,3,2,mean_selected_buffer_observed_duration_minutes,clique,CERTIFIED_FIXED_Q_COMPARISON,29.758333333333333,62.45,29.758333333333333,62.45,0.0,0.0,0.0,False
5,apr_weekday_am_n8,3,3,mean_selected_buffer_miles,pair,INELIGIBLE_NOT_COMMON_FEASIBLE_Q,,,,,,,,
5,apr_weekday_am_n8,3,3,mean_selected_buffer_miles,clique,INELIGIBLE_NOT_COMMON_FEASIBLE_Q,,,,,,,,
5,apr_weekday_am_n8,3,3,mean_selected_buffer_observed_duration_minutes,pair,INELIGIBLE_NOT_COMMON_FEASIBLE_Q,,,,,,,,
5,apr_weekday_am_n8,3,3,mean_selected_buffer_observed_duration_minutes,clique,INELIGIBLE_NOT_COMMON_FEASIBLE_Q,,,,,,,,
5,apr_weekday_am_n8,3,4,mean_selected_buffer_miles,pair,CERTIFIED_FIXED_Q_COMPARISON,5.8925,17.775,5.8925,17.775,0.0,0.0,0.0,False
5,apr_weekday_am_n8,3,4,mean_selected_buffer_miles,clique,CERTIFIED_FIXED_Q_COMPARISON,5.8925,17.775,5.8925,17.775,0.0,0.0,0.0,False
5,apr_weekday_am_n8,3,4,mean_selected_buffer_observed_duration_minutes,pair,CERTIFIED_FIXED_Q_COMPARISON,31.5625,60.795833333333334,31.5625,60.795833333333334,0.0,0.0,0.0,False
5,apr_weekday_am_n8,3,4,mean_selected_buffer_observed_duration_minutes,clique,CERTIFIED_FIXED_Q_COMPARISON,31.5625,60.795833333333334,31.5625,60.795833333333334,0.0,0.0,0.0,False
5,apr_weekday_am_n8,4,1,mean_selected_buffer_miles,pair,INELIGIBLE_NOT_COMMON_FEASIBLE_Q,,,,,,,,
5,apr_weekday_am_n8,4,1,mean_selected_buffer_miles,clique,INELIGIBLE_NOT_COMMON_FEASIBLE_Q,,,,,,,,
5,apr_weekday_am_n8,4,1,mean_selected_buffer_observed_duration_minutes,pair,INELIGIBLE_NOT_COMMON_FEASIBLE_Q,,,,,,,,
5,apr_weekday_am_n8,4,1,mean_selected_buffer_observed_duration_minutes,clique,INELIGIBLE_NOT_COMMON_FEASIBLE_Q,,,,,,,,
5,apr_weekday_am_n8,4,2,mean_selected_buffer_miles,pair,CERTIFIED_FIXED_Q_COMPARISON,5.49,19.27,5.49,19.27,0.0,0.0,0.0,False
5,apr_weekday_am_n8,4,2,mean_selected_buffer_miles,clique,CERTIFIED_FIXED_Q_COMPARISON,5.49,19.27,5.49,19.27,0.0,0.0,0.0,False
5,apr_weekday_am_n8,4,2,mean_selected_buffer_observed_duration_minutes,pair,CERTIFIED_FIXED_Q_COMPARISON,29.758333333333333,62.45,29.758333333333333,62.45,0.0,0.0,0.0,False
5,apr_weekday_am_n8,4,2,mean_selected_buffer_observed_duration_minutes,clique,CERTIFIED_FIXED_Q_COMPARISON,29.758333333333333,62.45,29.758333333333333,62.45,0.0,0.0,0.0,False
5,apr_weekday_am_n8,4,3,mean_selected_buffer_miles,pair,INELIGIBLE_NOT_COMMON_FEASIBLE_Q,,,,,,,,
5,apr_weekday_am_n8,4,3,mean_selected_buffer_miles,clique,INELIGIBLE_NOT_COMMON_FEASIBLE_Q,,,,,,,,
5,apr_weekday_am_n8,4,3,mean_selected_buffer_observed_duration_minutes,pair,INELIGIBLE_NOT_COMMON_FEASIBLE_Q,,,,,,,,
5,apr_weekday_am_n8,4,3,mean_selected_buffer_observed_duration_minutes,clique,INELIGIBLE_NOT_COMMON_FEASIBLE_Q,,,,,,,,
5,apr_weekday_am_n8,4,4,mean_selected_buffer_miles,pair,CERTIFIED_FIXED_Q_COMPARISON,5.8925,17.775,5.8925,17.775,0.0,0.0,0.0,False
5,apr_weekday_am_n8,4,4,mean_selected_buffer_miles,clique,CERTIFIED_FIXED_Q_COMPARISON,5.8925,17.775,5.8925,17.775,0.0,0.0,0.0,False
5,apr_weekday_am_n8,4,4,mean_selected_buffer_observed_duration_minutes,pair,CERTIFIED_FIXED_Q_COMPARISON,31.5625,60.795833333333334,31.5625,60.795833333333334,0.0,0.0,0.0,False
5,apr_weekday_am_n8,4,4,mean_selected_buffer_observed_duration_minutes,clique,CERTIFIED_FIXED_Q_COMPARISON,31.5625,60.795833333333334,31.5625,60.795833333333334,0.0,0.0,0.0,False
7,apr_weekday_pm_n8,2,1,mean_selected_buffer_miles,pair,INELIGIBLE_NOT_COMMON_FEASIBLE_Q,,,,,,,,
7,apr_weekday_pm_n8,2,1,mean_selected_buffer_miles,clique,INELIGIBLE_NOT_COMMON_FEASIBLE_Q,,,,,,,,
7,apr_weekday_pm_n8,2,1,mean_selected_buffer_observed_duration_minutes,pair,INELIGIBLE_NOT_COMMON_FEASIBLE_Q,,,,,,,,
7,apr_weekday_pm_n8,2,1,mean_selected_buffer_observed_duration_minutes,clique,INELIGIBLE_NOT_COMMON_FEASIBLE_Q,,,,,,,,
7,apr_weekday_pm_n8,2,2,mean_selected_buffer_miles,pair,CERTIFIED_FIXED_Q_COMPARISON,3.08,14.16,3.08,14.16,0.0,0.0,0.0,False
7,apr_weekday_pm_n8,2,2,mean_selected_buffer_miles,clique,CERTIFIED_FIXED_Q_COMPARISON,3.08,14.16,3.08,14.16,0.0,0.0,0.0,False
7,apr_weekday_pm_n8,2,2,mean_selected_buffer_observed_duration_minutes,pair,CERTIFIED_FIXED_Q_COMPARISON,35.391666666666666,105.10833333333333,35.391666666666666,105.10833333333333,0.0,0.0,0.0,False
7,apr_weekday_pm_n8,2,2,mean_selected_buffer_observed_duration_minutes,clique,CERTIFIED_FIXED_Q_COMPARISON,35.391666666666666,105.10833333333333,35.391666666666666,105.10833333333333,0.0,0.0,0.0,False
7,apr_weekday_pm_n8,2,3,mean_selected_buffer_miles,pair,INELIGIBLE_NOT_COMMON_FEASIBLE_Q,,,,,,,,
7,apr_weekday_pm_n8,2,3,mean_selected_buffer_miles,clique,INELIGIBLE_NOT_COMMON_FEASIBLE_Q,,,,,,,,
7,apr_weekday_pm_n8,2,3,mean_selected_buffer_observed_duration_minutes,pair,INELIGIBLE_NOT_COMMON_FEASIBLE_Q,,,,,,,,
